City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lakatoro,-16.0999,167.4164,28.0,84,100,7.6,VU,1675552610
1,port alfred,-33.5906,26.891,23.43,88,100,1.34,ZA,1675552445
2,arraial do cabo,-22.9661,-42.0278,25.55,87,25,5.86,BR,1675552317
3,guerrero negro,27.9769,-114.0611,19.86,41,0,5.26,MX,1675552600
4,kapaa,22.0752,-159.319,24.18,88,100,7.72,US,1675552411
5,ushuaia,-54.8,-68.3,8.44,97,100,3.27,AR,1675552317
6,manzhouli,49.6,117.4333,-25.95,99,28,2.31,CN,1675552610
7,salina,38.8403,-97.6114,13.5,39,0,5.14,US,1675552610
8,avarua,-21.2078,-159.775,29.03,79,75,6.17,CK,1675552361
9,port-gentil,-0.7193,8.7815,25.98,94,20,1.54,GA,1675552611
10,mar del plata,-38.0023,-57.5575,19.97,72,0,2.68,AR,1675552381
11,qaanaaq,77.484,-69.3632,-19.67,60,70,2.05,GL,1675552365
12,albany,42.6001,-73.9662,-10.59,47,70,2.11,US,1675552374
13,cherskiy,68.75,161.3,-38.28,100,97,1.68,RU,1675552496
14,mataura,-46.1927,168.8643,21.42,75,100,1.12,NZ,1675552319
15,nabire,-3.3667,135.4833,23.88,96,100,1.6,ID,1675552612
16,noumea,-22.2763,166.4572,32.99,99,80,6.19,NC,1675552294
17,henties bay,-22.116,14.2845,17.89,87,97,3.35,NA,1675552486
18,leningradskiy,69.3833,178.4167,-31.96,99,100,2.02,RU,1675552429
19,coihaique,-45.5752,-72.0662,25.97,38,20,3.09,CL,1675552612
20,raymond,43.9015,-70.4703,-13.88,43,78,1.79,US,1675552612
21,culpeper,38.5004,-77.9664,0.46,38,0,2.06,US,1675552391
22,umm lajj,25.0213,37.2685,18.52,54,23,3.96,SA,1675552613
23,na wa,17.4897,104.1006,23.02,87,97,1.68,TH,1675552613
24,suntar,62.1444,117.6319,-43.86,100,95,1.53,RU,1675552613
25,islahiye,37.025,36.6306,0.62,96,100,1.27,TR,1675552614
26,antofagasta,-23.65,-70.4,23.6,78,2,2.18,CL,1675552503
27,rikitea,-23.1203,-134.9692,26.2,74,2,5.8,PF,1675552318
28,provideniya,64.3833,-173.3,-19.22,89,100,4.97,RU,1675552480
29,puerto ayora,-0.7393,-90.3518,27.53,89,58,3.13,EC,1675552431
30,nikolskoye,59.7035,30.7861,-4.0,91,99,2.94,RU,1675552432
31,waipawa,-41.4122,175.5153,23.93,62,28,3.17,NZ,1675552614
32,port hardy,50.6996,-127.4199,8.1,93,75,9.77,CA,1675552614
33,imbituba,-28.24,-48.6703,23.05,84,32,2.74,BR,1675552615
34,tyulgan,52.3405,56.166,-18.18,92,95,2.46,RU,1675552615
35,lavrentiya,65.5833,-171.0,-24.01,94,91,2.98,RU,1675552540
36,new norfolk,-42.7826,147.0587,20.4,54,10,0.89,AU,1675552425
37,murgab,37.4966,61.9714,3.93,93,100,3.09,TM,1675552615
38,bubaque,11.2833,-15.8333,25.01,65,14,5.91,GW,1675552615
39,esperance,-33.8667,121.9,19.38,61,0,6.87,AU,1675552616
40,wexford,52.3342,-6.4575,6.05,94,73,3.13,IE,1675552616
41,cape town,-33.9258,18.4232,21.18,89,64,0.45,ZA,1675552289
42,cidreira,-30.1811,-50.2056,23.36,75,57,4.75,BR,1675552301
43,dhidhdhoo,6.8833,73.1,26.66,78,99,1.93,MV,1675552616
44,khatanga,71.9667,102.5,-39.13,100,50,2.26,RU,1675552551
45,busselton,-33.65,115.3333,24.07,40,77,2.6,AU,1675552482
46,bluff,-46.6,168.3333,16.92,90,100,6.25,NZ,1675552371
47,avera,33.194,-82.5271,8.54,48,60,2.12,US,1675552422
48,thompson,55.7435,-97.8558,-17.91,65,75,2.06,CA,1675552426
49,dikson,73.5069,80.5464,-19.39,97,100,1.34,RU,1675552489
50,harbour breton,47.4833,-55.7983,-8.06,86,100,21.2,CA,1675552617
51,lebu,-37.6167,-73.65,16.34,89,59,1.37,CL,1675552410
52,bongandanga,1.5,21.05,24.22,48,96,0.6,CD,1675552617
53,jamestown,42.097,-79.2353,-3.23,34,0,6.17,US,1675552497
54,brae,60.3964,-1.353,5.53,65,51,9.8,GB,1675552617
55,chokurdakh,70.6333,147.9167,-30.52,97,80,3.8,RU,1675552485
56,auki,-8.7676,160.7034,27.71,83,100,2.77,SB,1675552618
57,standerton,-26.9337,29.2415,15.34,98,3,1.97,ZA,1675552618
58,east london,-33.0153,27.9116,23.5,82,100,4.87,ZA,1675552391
59,carnarvon,-24.8667,113.6333,26.05,70,1,3.19,AU,1675552429
60,nanao,37.05,136.9667,3.49,74,86,0.57,JP,1675552618
61,punta arenas,-53.15,-70.9167,12.06,94,100,6.69,CL,1675552171
62,dhanwar,24.4167,85.9833,13.4,45,5,2.87,IN,1675552619
63,bengkulu,-3.8004,102.2655,23.34,89,100,2.21,ID,1675552493
64,te anau,-45.4167,167.7167,17.98,97,100,2.65,NZ,1675552619
65,katsuura,35.1333,140.3,7.16,66,11,6.45,JP,1675552492
66,mpika,-11.8343,31.4529,16.25,93,97,0.57,ZM,1675552620
67,san patricio,28.017,-97.5169,20.92,60,35,4.06,US,1675552495
68,hobart,-42.8794,147.3294,20.59,57,20,3.09,AU,1675552433
69,severnyy,50.677,36.5532,-3.98,92,100,3.13,RU,1675552495
70,huescar,37.811,-2.5412,5.07,36,1,0.83,ES,1675552620
71,calama,-22.4667,-68.9333,18.27,59,75,8.23,CL,1675552621
72,bredasdorp,-34.5322,20.0403,20.02,89,0,3.44,ZA,1675552430
73,pisco,-13.7,-76.2167,23.34,94,0,4.12,PE,1675552501
74,tevriz,57.509,72.4042,-21.15,100,99,0.53,RU,1675552621
75,vaini,-21.2,-175.2,30.09,74,75,7.2,TO,1675552439
76,longyearbyen,78.2186,15.6401,-9.09,62,0,10.8,SJ,1675552621
77,kavieng,-2.5744,150.7967,28.42,71,95,1.97,PG,1675552595
78,tasiilaq,65.6145,-37.6368,-3.91,88,100,11.47,GL,1675552425
79,kodiak,57.79,-152.4072,1.73,75,40,1.54,US,1675552426
80,hasaki,35.7333,140.8333,6.23,56,5,7.2,JP,1675552540
81,aswan,24.0934,32.907,13.9,28,38,3.82,EG,1675552622
82,ararat,39.8317,44.7049,-1.81,67,100,1.82,AM,1675552622
83,butaritari,3.0707,172.7902,27.36,80,65,8.45,KI,1675552441
84,manresa,41.725,1.8266,13.34,62,0,1.34,ES,1675552624
85,talas,38.6908,35.5538,-4.63,93,75,0.0,TR,1675552625
86,port elizabeth,-33.918,25.5701,22.32,71,89,2.82,ZA,1675552499
87,coquimbo,-29.9533,-71.3436,20.85,68,0,4.63,CL,1675552514
88,barrow,71.2906,-156.7887,-30.99,76,40,4.12,US,1675552429
89,walvis bay,-22.9575,14.5053,17.83,80,100,4.64,NA,1675552535
90,kulhudhuffushi,6.6221,73.07,26.67,78,100,2.11,MV,1675552626
91,bambanglipuro,-7.95,110.2833,24.97,85,100,4.74,ID,1675552627
92,tungor,53.3808,142.9564,-28.58,99,63,3.69,RU,1675552627
93,georgetown,5.4112,100.3354,25.96,73,20,4.12,MY,1675552349
94,canutama,-6.5339,-64.3831,23.26,97,99,1.37,BR,1675552628
95,yumen,40.2833,97.2,-3.28,39,100,7.15,CN,1675552628
96,tiksi,71.6872,128.8694,-28.81,100,100,1.22,RU,1675552488
97,fairbanks,64.8378,-147.7164,-11.16,79,75,2.57,US,1675552556
98,tual,-5.6667,132.75,27.35,81,100,6.47,ID,1675552435
